ID,Story,Question,Label
127,"J and H are parallel, and J is to the right of H. U is diagonally to the upper left of K. E is to the right and above N at an angle of about 45 degrees. U and N are parallel, and U is on top of N. G is over there and H is on the left of it. K and J are vertical and K is above J.",What is the relation of the agent H to the agent K?,lower-right
128,"R and N are both there with the object R above the object N. V and R are next to each other with V on the left and R on the right. H and C are parallel, and H is to the left of C. C is over there and N is on the left. H is below Q. V is on the same horizontal plane directly left to X.",What is the relation of the agent H to the agent C?,left
129,"The object I is positioned below and to the left of the object G. N is over there with O above. E is over there and F is on the right. O is below G and to the left of G. E is north west of P. F and N are parallel, and F on the left of N.",What is the relation of the agent E to the agent F?,left
130,Q is sitting at the 6:00 position to O. K is at O's 6 o'clock. C is above S and to the right of S. V is below K and to the right of K. Q is diagonally to the bottom right of A. S is placed at the lower left of A.,What is the relation of the agent A to the agent C?,overlap
131,C is sitting at the 6:00 position to J. J and E are side by side with J to the right and E to the left. K is sitting at the 12:00 position to E. H is above and to the right of I. Z is over there and K is on the left of it. The object I is positioned below and to the right of the object Z.,What is the relation of the agent I to the agent J?,right
132,C is above H with a small gap between them. K is slightly off center to the top left and W is slightly off center to the bottom right. D is diagonally below V to the right at a 45 degree angle. K is lower left to D. P is on the lower right of W. P is above C with a small gap between them.,What is the relation of the agent V to the agent D?,upper-left
133,"S is over there with V above. S is to the right and above X at an angle of about 45 degrees. A is on the same horizontal plane directly right to X. M is over V. F is positioned above R and to the right. F and M are parallel, and F is to the left of M.",What is the relation of the agent V to the agent S?,above
134,Z is directly south east of R. The object V and P are there. The object V is below and slightly to the right of the object P. O is to the right and above J at an angle of about 45 degrees. O is to the left of T and is on the same horizontal plane. R is positioned up and to the right of P. J is to the top of Z vertically.,What is the relation of the agent J to the agent V?,upper-right
135,I is positioned below U and to the left. Z is on the left side and above T. I is placed at the lower right of O. T and U are vertical and T is below U. Z presents right to H. Q and H are horizontal and Q is to the left of H.,What is the relation of the agent H to the agent O?,lower-left
136,T is diagonally right and below N. E presents upper left to K. The object T is positioned above and to the left of object J. O is directly north east of V. J is there and E is at the 5 position of a clock face. O is on the same vertical plane directly below N.,What is the relation of the agent E to the agent J?,lower-right
